Academic Units,Section Status,Section Listings,Course,Title,Meeting Patterns,Building/Room,Campus Locations,Instructor(s)/Teaching Assistant,Credit Hour,Enrollment Count,Section Capacity,Reserved Capacity,Reserved Seats,Waitlist Count,Academic Period,Start Date,End Date,Instructional Format,Delivery Mode,Public Notes,Clustered Course Sections,Academic Level,Grading Bases,Academic Period.1,Course Definition,Reference ID,Level,Program,Suffix
"Engineering Management Program

Integrated Product Development Program

Mechanical Engineering Program",Open,EM 612-GIA1 - Project Mgmt. & Org. Design,EM612-GIA1,Project Management of Complex Systems,,,,6,3,19,30,0,,0,2022 Spring Semester,1/18/22,5/18/22,Lecture,Online,,,Graduate,Graded,2022 Spring Semester,EM 612/ IPD 612/ ME 636 - Project Mgmt. & Org. Design,COURSE_SECTION_DEFINITION-1-2022S_EM_612_GIA1-ZZZDNU,CORP,EM,GIA1
"Engineering Management Program

Integrated Product Development Program

Mechanical Engineering Program",Open,EM 612-WN - Project Mgmt. & Org. Design,EM612-WN,Project Management of Complex Systems,Wednesday | 8:30 PM - 10:00 PM,,,14,3,12,30,0,,0,2022 Spring Semester,1/24/22,4/29/22,Lecture,Online,,,Graduate,Graded,2022 Spring Semester,EM 612/ IPD 612/ ME 636 - Project Mgmt. & Org. Design,COURSE_SECTION_DEFINITION-1-2022S_EM_612_WN,G,EM,WN
"Engineering Management Program

Integrated Product Development Program

Mechanical Engineering Program",Open,EM 612-WS - Project Mgmt. & Org. Design,EM612-WS,Project Management of Complex Systems,,WebCampus,WebCampus,14,3,49,50,0,,0,2022 Spring Semester,1/18/22,5/18/22,Lecture,Online,,,Graduate,Graded,2022 Spring Semester,EM 612/ IPD 612/ ME 636 - Project Mgmt. & Org. Design,COURSE_SECTION_DEFINITION-3-112628,G,EM,WS
"Engineering Management Program

Systems Engineering Program",Open,"EM 622-B - Decision Making Via Data Analysis

SYS 622-B - Decision Making Via Data Analysis",EM622-B/SYS622-B,Decision Making Via Data Analysis Techniques,Thursday | 3:30 PM - 6:00 PM,Babbio 310,Hoboken - Main Campus,36,3,20,30,0,,0,2022 Spring Semester,1/18/22,5/18/22,Lecture,In-Person,,,Graduate,Graded,2022 Spring Semester,EM 622/ SYS 622 - Decision Making Via Data Analysis,COURSE_SECTION_DEFINITION-1-2022S_EM_622_B,G,EM,B
Engineering Management Program,Open,EM 665-WS - Integrated Supply Chain Mgt.,EM665-WS,Integrated Supply Chain Mgt.,,WebCampus,WebCampus,56,3,32,50,0,,0,2022 Spring Semester,1/18/22,5/18/22,Lecture,Online,WebCampus Section.,,Graduate,Graded,2022 Spring Semester,EM 665 - Integrated Supply Chain Mgmt.,COURSE_SECTION_DEFINITION-1-2022S_EM_665_WS,G,EM,WS
Engineering Management Program,Open,EM 680-WS - Dsgn &  Managing the Devlp. Sys.,EM680-WS,Designing and Managing the Development Enterprise,,,,18,3,13,50,0,,0,2022 Spring Semester,1/18/22,5/18/22,Lecture,Online,,,Graduate,Graded,2022 Spring Semester,EM 680 - Dsgn &  Managing the Devlp. Sys.,COURSE_SECTION_DEFINITION-3-112599,G,EM,WS
School of Systems and Enterprises,Open,ENGR 355-A - Engineering Economics,ENGR355-A,Engineering Economics,Tuesday/Thursday | 9:30 AM - 10:45 AM,Edwin A. Stevens 222,Hoboken - Main Campus,56,4,39,110,0,,0,2022 Spring Semester,1/18/22,5/18/22,Lecture,In-Person,,,Undergraduate,Graded,2022 Spring Semester,ENGR 355 - Engineering Economics,COURSE_SECTION_DEFINITION-1-2022S_ENGR_355_A,UG,EM,A
School of Systems and Enterprises,Open,ENGR 355-B - Engineering Economics,ENGR355-B,Engineering Economics,Tuesday/Thursday | 11:00 AM - 12:15 PM,Edwin A. Stevens 222,Hoboken - Main Campus,56,4,94,110,0,,0,2022 Spring Semester,1/18/22,5/18/22,Lecture,In-Person,,,Undergraduate,Graded,2022 Spring Semester,ENGR 355 - Engineering Economics,COURSE_SECTION_DEFINITION-1-2022S_ENGR_355_B,UG,EM,B
School of Systems and Enterprises,Closed,ENGR 355-C - Engineering Economics,ENGR355-C,Engineering Economics,Tuesday/Thursday | 12:30 PM - 1:45 PM,Burchard 111,Hoboken - Main Campus,24,4,137,124,0,,0,2022 Spring Semester,1/18/22,5/18/22,Lecture,In-Person,,,Undergraduate,Graded,2022 Spring Semester,ENGR 355 - Engineering Economics,COURSE_SECTION_DEFINITION-1-2022S_ENGR_355_C,UG,EM,C
School of Systems and Enterprises,Closed,ENGR 355-D - Engineering Economics,ENGR355-D,Engineering Economics,Tuesday/Thursday | 12:30 PM - 1:45 PM,Kidde 228,Hoboken - Main Campus,36,4,130,124,0,,0,2022 Spring Semester,1/18/22,5/18/22,Lecture,In-Person,,,Undergraduate,Graded,2022 Spring Semester,ENGR 355 - Engineering Economics,COURSE_SECTION_DEFINITION-1-2022S_ENGR_355_D,UG,EM,D
"Engineering Management Program

Integrated Product Development Program

Mechanical Engineering Program",Open,"EM 612-B - Project Mgmt. & Org. Design

IPD 612-B - Project Mgmt. & Org. Design

ME 636-B - Project Mgmt. & Org. Design",EM612-B/IPD612-B/ME636-B,Project Management of Complex Systems,Wednesday | 6:30 PM - 9:00 PM,Burchard 514,Hoboken - Main Campus,14,3,24,30,0,,0,2022 Spring Semester,1/18/22,5/18/22,Lecture,In-Person,,,Graduate,Graded,2022 Spring Semester,EM 612/ IPD 612/ ME 636 - Project Mgmt. & Org. Design,COURSE_SECTION_DEFINITION-1-2022S_EM_612_B,G,EM,B
Engineering Management Program,Open,"EM 224-B - Informatics & Software Devlp.

ISE 224-B - Informatics & Software Devlp.",EM224-B/ISE224-B,Informatics & Software Development,Thursday | 3:30 PM - 6:00 PM,McLean 209,Hoboken - Main Campus,41,3,31,45,0,,0,2022 Spring Semester,1/18/22,5/18/22,Lecture,In-Person,,,Undergraduate,Graded,2022 Spring Semester,EM 224/ ISE 224 - Informatics & Software Devlp.,COURSE_SECTION_DEFINITION-1-2022S_EM_224_B,UG,EM,B
Engineering Management Program,Open,ISE 225-A - Data Infrastructures,ISE225-A,Data Infrastructures,Tuesday | 3:30 PM - 6:00 PM,Babbio 202,Hoboken - Main Campus,72,3,9,15,0,,0,2022 Spring Semester,1/18/22,5/18/22,Lecture,In-Person,,,Undergraduate,Graded,2022 Spring Semester,ISE 225 - Data Infrastructures,COURSE_SECTION_DEFINITION-1-2022S_ISE_225_A,UG,EM,A
Engineering Management Program,Open,"EM 345-B - Modeling and Simulation

ISE 345-B - Modeling and Simulation",EM345-B/ISE345-B,Modeling and Simulation,Tuesday/Thursday | 11:00 AM - 12:15 PM,Babbio 321,Hoboken - Main Campus,35,3,34,40,0,,0,2022 Spring Semester,1/18/22,5/18/22,Lecture,In-Person,,,Undergraduate,Graded,2022 Spring Semester,EM 345/ ISE 345 - Modeling and Simulation,COURSE_SECTION_DEFINITION-1-2022S_EM_345_B,UG,EM,B
Engineering Management Program,Closed,"EM 357-B - Elements of Operations Research

ISE 357-B - Elements of Operations Research",EM357-B/ISE357-B,Elements Of Operations Research,"Monday | 10:00 AM - 11:50 AM

Wednesday | 12:00 PM - 12:50 PM","Edwin A. Stevens 329

McLean 104",Hoboken - Main Campus,55,3,35,30,0,,0,2022 Spring Semester,1/18/22,5/18/22,Lecture,In-Person,,,Undergraduate,Graded,2022 Spring Semester,EM 357/ ISE 357 - Elements of Operations Research,COURSE_SECTION_DEFINITION-1-2022S_EM_357_B,UG,EM,B
Engineering Management Program,Open,"EM 451-B - Analysis of Ntwks & Strategies

ISE 451-B - Analysis of Ntwks & Strategies",EM451-B/ISE451-B,Analysis of Networks & Strategies,Tuesday/Thursday | 9:30 AM - 10:45 AM,Babbio 202,Hoboken - Main Campus,35,3,9,18,0,,0,2022 Spring Semester,1/18/22,5/18/22,Lecture,In-Person,,,Undergraduate,Graded,2022 Spring Semester,EM 451/ ISE 451 - Analysis of Ntwks & Strategies,COURSE_SECTION_DEFINITION-1-2022S_EM_451_B,UG,EM,B
Engineering Management Program,Open,ISE 490-A - Data-Mining & Applied Machine L.,ISE490-A,Data-Mining & Applied Machine L.,Tuesday/Thursday | 8:00 AM - 9:15 AM,McLean 209,Hoboken - Main Campus,32,3,12,40,0,,0,2022 Spring Semester,1/18/22,5/18/22,Lecture,In-Person,,,Undergraduate,Graded,2022 Spring Semester,ISE 490 - Data-Mining & Applied Machine L.,COURSE_SECTION_DEFINITION-1-2022S_ISE_490_A,UG,EM,A
"Engineering Management Program

Pharmaceutical Manufacturing Program",Open,"EM 600-B - Eng. Economics & Cost Analysis

PME 600-B - Eng. Economics & Cost Analysis",EM600-B/PME600-B,Engineering Economics and Cost Analysis,Thursday | 3:30 PM - 6:00 PM,Edwin A. Stevens 330,Hoboken - Main Campus,56,3,44,50,0,,0,2022 Spring Semester,1/18/22,5/18/22,Lecture,In-Person,,,Graduate,Graded,2022 Spring Semester,EM 600/ PME 600 - Eng. Economics & Cost Analysis,COURSE_SECTION_DEFINITION-1-2022S_EM_600_B-ZZZDNU,G,EM,B
Software Engineering Program,Open,SSW 215-A - Individual Software Engineering,SSW215-A,Individual Software Engineering,"Thursday | 10:00 AM - 11:50 AM

Tuesday | 9:30 AM - 10:20 AM","Carnegie 316

Peirce 218",Hoboken - Main Campus,21,3,21,30,0,,0,2022 Spring Semester,1/18/22,5/18/22,Lecture,In-Person,,,Undergraduate,Graded,2022 Spring Semester,SSW 215 - Individual Software Engineering,COURSE_SECTION_DEFINITION-1-2022S_SSW_215_A,UG,SSW,A
Software Engineering Program,Open,SSW 322-A - Engineering Design VI,SSW322-A,Engineering Design VI,"Monday | 9:00 AM - 9:50 AM

Wednesday | 11:00 AM - 1:50 PM","Babbio 321

McLean 104",Hoboken - Main Campus,17,2,34,40,0,,0,2022 Spring Semester,1/18/22,5/18/22,Lecture,In-Person,,,Undergraduate,Graded,2022 Spring Semester,SSW 322 - Engineering Design VI,COURSE_SECTION_DEFINITION-1-2022S_SSW_322_A,UG,SSW,A
Software Engineering Program,Open,SSW 345-A - Modeling and Simulation,SSW345-A,Modeling and Simulation,"Thursday | 12:30 PM - 2:20 PM

Tuesday | 12:30 PM - 1:20 PM",Babbio 321,Hoboken - Main Campus,39,3,34,40,0,,0,2022 Spring Semester,1/18/22,5/18/22,Lecture,In-Person,,,Undergraduate,Graded,2022 Spring Semester,SSW 345 - Modeling and Simulation,COURSE_SECTION_DEFINITION-1-2022S_SSW_345_A,UG,SSW,A
Software Engineering Program,Open,SSW 424-WS - Engineering Design VIII,SSW424-WS,Engineering Design VIII,,,,10,3,36,50,0,,0,2022 Spring Semester,1/18/22,5/18/22,Combination,Online,,,Undergraduate,Graded,2022 Spring Semester,SSW 424 - Engineering Design VIII,COURSE_SECTION_DEFINITION-1-2022S_SSW_424_WS,UG,SSW,WS
Software Engineering Program,Open,SSW 533-A - Cost Estimation & Metrics,SSW533-A,Cost Estimation & Metrics,Tuesday | 6:30 PM - 9:00 PM,Gateway North 204,Hoboken - Main Campus,27,3,13,40,0,,0,2022 Spring Semester,1/18/22,5/18/22,Lecture,In-Person,Graduate students only in this section.,,Graduate,Graded,2022 Spring Semester,SSW 533 - Cost Estimation & Metrics,COURSE_SECTION_DEFINITION-1-2022S_SSW_533_A,G-UG,SSW,A
Software Engineering Program,Open,SSW 533-A-U - Cost Estimation & Metrics,SSW533-A-U,Cost Estimation and Metrics,Tuesday | 6:30 PM - 9:00 PM,,,27,3,16,30,0,,0,2022 Spring Semester,1/18/22,5/18/22,Lecture,In-Person,Meets same time and place as SSW 533A,,Graduate,Graded,2022 Spring Semester,SSW 533 - Cost Estimation & Metrics,COURSE_SECTION_DEFINITION-1-2022S_SSW_533_A-U,UG,SSW,U
Software Engineering Program,Open,SSW 533-WS - Cost Estimation & Metrics,SSW533-WS,Cost Estimation and Metrics,,,,26,3,3,50,0,,0,2022 Spring Semester,1/18/22,5/18/22,Lecture,Online,Graduate students only in this section.,,Graduate,Graded,2022 Spring Semester,SSW 533 - Cost Estimation & Metrics,COURSE_SECTION_DEFINITION-1-2022S_SSW_533_WS,G-UG,SSW,WS
Software Engineering Program,Open,SSW 533-WS-U - Cost Estimation & Metrics,SSW533-WS-U,Cost Estimation and Metrics,,,,26,3,6,50,0,,0,2022 Spring Semester,1/18/22,5/18/22,Lecture,Online,Undergraduate students only in this section.,,Graduate,Graded,2022 Spring Semester,SSW 533 - Cost Estimation & Metrics,COURSE_SECTION_DEFINITION-1-2022S_SSW_533_WS-U,UG,SSW,U
Software Engineering Program,Open,SSW 540-A - Fundamentals of Software Eng.,SSW540-A,Fundamentals of Software Eng.,Wednesday | 6:30 PM - 9:00 PM,Babbio 319,Hoboken - Main Campus,21,3,16,40,0,,0,2022 Spring Semester,1/18/22,5/18/22,Lecture,In-Person,,,Graduate,Graded,2022 Spring Semester,SSW 540 - Fund. of Software Engr.,COURSE_SECTION_DEFINITION-1-2022S_SSW_540_A,G-UG,SSW,A
Software Engineering Program,Open,SSW 540-MEA - Fund. of Software Engr.,SSW540-MEA,Fundamentals of Software Engineering,,,,27,3,15,30,0,,0,2022 Spring Semester,4/1/22,7/9/22,Lecture,In-Person,,,Graduate,Graded,2022 Spring Semester,SSW 540 - Fund. of Software Engr.,COURSE_SECTION_DEFINITION-1-2022S_SSW_540_MEA-ZZZDNU,CORP,SSW,MEA
Software Engineering Program,Open,SSW 540-WS - Fund. of Software Engr.,SSW540-WS,Fundamentals of Software Engineering,,,,27,3,6,50,0,,0,2022 Spring Semester,1/18/22,5/18/22,Lecture,Online,Graduate students only in this section.,,Graduate,Graded,2022 Spring Semester,SSW 540 - Fund. of Software Engr.,COURSE_SECTION_DEFINITION-1-2022S_SSW_540_WS,G-UG,SSW,WS
Software Engineering Program,Open,SSW 540-WS-U - Fund. of Software Engr.,SSW540-WS-U,Fundamentals of Software Engineering,,,,43,3,0,50,0,,0,2022 Spring Semester,1/18/22,5/18/22,Lecture,Online,Undergraduate students only in this section.,,Graduate,Graded,2022 Spring Semester,SSW 540 - Fund. of Software Engr.,COURSE_SECTION_DEFINITION-1-2022S_SSW_540_WS-U,UG,SSW,U
Software Engineering Program,Closed,"CS 555-C - Agile Methods for Software Dev.

SSW 555-C - Agile Methods for Software Dev.",CS555-C/SSW555-C,Agile Methods for Software Development,Tuesday | 12:30 PM - 3:00 PM,Gateway North 204,Hoboken - Main Campus,41,3,44,40,0,,0,2022 Spring Semester,1/18/22,5/18/22,Lecture,In-Person,Graduate students only in this section.,,Graduate,Graded,2022 Spring Semester,CS 555/ SSW 555 - Agile Methods for Software Dev.,COURSE_SECTION_DEFINITION-1-2022S_CS_555_C,G-UG,SSW,C
Software Engineering Program,Closed,"CS 555-C-U - Agile Methods for Software Dev.

SSW 555-C-U - Agile Methods for Software Dev.",CS555-C-U/SSW555-C-U,Agile Methods for Software Development,Tuesday | 12:30 PM - 3:00 PM,,,41,3,20,20,0,,0,2022 Spring Semester,1/18/22,5/18/22,Lecture,In-Person,Meets at the same time and location as SSW/CS 555 C. Undergraduate students only in this section.,,Graduate,Graded,2022 Spring Semester,CS 555/ SSW 555 - Agile Methods for Software Dev.,COURSE_SECTION_DEFINITION-1-2022S_CS_555_C-U,UG,SSW,U
Software Engineering Program,Closed,"CS 555-D - Agile Methods for Software Dev.

SSW 555-D - Agile Methods for Software Dev.",CS555-D/SSW555-D,Agile Methods for Software Development,Thursday | 6:30 PM - 9:00 PM,Gateway North 204,Hoboken - Main Campus,41,3,58,45,0,,0,2022 Spring Semester,1/18/22,5/18/22,Lecture,In-Person,Graduate students only in this section.,,Graduate,Graded,2022 Spring Semester,CS 555/ SSW 555 - Agile Methods for Software Dev.,COURSE_SECTION_DEFINITION-1-2022S_CS_555_D,G-UG,SSW,D
Software Engineering Program,Open,"CS 555-D-U - Agile Methods for Software Dev.

SSW 555-D-U - Agile Methods for Software Dev.",CS555-D-U/SSW555-D-U,Agile Methods for Software Development,Thursday | 6:30 PM - 9:00 PM,,,41,3,13,15,0,,0,2022 Spring Semester,1/18/22,5/18/22,Lecture,In-Person,Meets at the same time and location as SSW/CS 555 D. Undergraduate students only in this section.,,Graduate,Graded,2022 Spring Semester,CS 555/ SSW 555 - Agile Methods for Software Dev.,COURSE_SECTION_DEFINITION-1-2022S_CS_555_D-U,UG,SSW,U
Software Engineering Program,Open,SSW 555-WS - Agile Methods for Software Dev.,SSW555-WS,Agile Methods for Software Development,,,,27,3,13,50,0,,0,2022 Spring Semester,1/18/22,5/18/22,Lecture,Online,Graduate students only in this section.,,Graduate,Graded,2022 Spring Semester,CS 555/ SSW 555 - Agile Methods for Software Dev.,COURSE_SECTION_DEFINITION-1-2022S_SSW_555_WS,G-UG,SSW,WS
Software Engineering Program,Open,SSW 555-WS-U - Agile Methods for Software Dev.,SSW555-WS-U,Agile Methods for Software Development,,,,27,3,8,50,0,,0,2022 Spring Semester,1/18/22,5/18/22,Lecture,Online,Graduate students only in this section.,,Graduate,Graded,2022 Spring Semester,CS 555/ SSW 555 - Agile Methods for Software Dev.,COURSE_SECTION_DEFINITION-1-2022S_SSW_555_WS-U,UG,SSW,U
Software Engineering Program,Open,SSW 564-A - SW Requirements Analysis & Eng.,SSW564-A,SW Requirements Analysis & Eng.,Monday | 6:30 PM - 9:00 PM,Gateway South 216,Hoboken - Main Campus,33,3,13,50,0,,0,2022 Spring Semester,1/18/22,5/18/22,Lecture,In-Person,Graduate students only in this section.,,Graduate,Graded,2022 Spring Semester,SSW 564 - Software Req. Analysis & Engr.,COURSE_SECTION_DEFINITION-1-2022S_SSW_564_A,G-UG,SSW,A
Software Engineering Program,Open,SSW 564-A-U - Software Req. Analysis & Engr.,SSW564-A-U,Software Requirements Analysis and Engineering,Monday | 6:30 PM - 9:00 PM,,,33,3,17,30,0,,0,2022 Spring Semester,1/18/22,5/18/22,Lecture,In-Person,Meets at the same time and location as SSW 564 A. Graduate students only in this section.,,Graduate,Graded,2022 Spring Semester,SSW 564 - Software Req. Analysis & Engr.,COURSE_SECTION_DEFINITION-1-2022S_SSW_564_A-U,UG,SSW,U
Software Engineering Program,Open,SSW 564-WS - Software Req. Analysis & Engr.,SSW564-WS,Software Requirements Analysis and Engineering,,WebCampus,WebCampus,33,3,2,50,0,,0,2022 Spring Semester,1/18/22,5/18/22,Lecture,Online,Graduate Students Only,,Graduate,Graded,2022 Spring Semester,SSW 564 - Software Req. Analysis & Engr.,COURSE_SECTION_DEFINITION-1-2022S_SSW_564_WS,G-UG,SSW,WS
Software Engineering Program,Open,SSW 564-WS-U - Software Req. Analysis & Engr.,SSW564-WS-U,Software Requirements Analysis and Engineering,,WebCampus,WebCampus,33,3,13,50,0,,0,2022 Spring Semester,1/18/22,5/18/22,Lecture,Online,Undergraduate Students Only,,Graduate,Graded,2022 Spring Semester,SSW 564 - Software Req. Analysis & Engr.,COURSE_SECTION_DEFINITION-1-2022S_SSW_564_WS-U,UG,SSW,U
Software Engineering Program,Open,SSW 565-A - SW Arch & Component Based Design,SSW565-A,SW Arch & Component Based Design,Wednesday | 9:00 AM - 11:30 AM,McLean 209,Hoboken - Main Campus,41,3,27,40,0,,0,2022 Spring Semester,1/18/22,5/18/22,Lecture,In-Person,,,Graduate,Graded,2022 Spring Semester,SSW 565 - SW Arch & Component Based Design,COURSE_SECTION_DEFINITION-1-2022S_SSW_565_A,G-UG,SSW,A
Software Engineering Program,Open,"SSW 567-A - SW Testing, Qual. Assur. & Maint",SSW567-A,"SW Testing, Qual. Assur. & Maint",Wednesday | 6:30 PM - 9:00 PM,Babbio 104,Hoboken - Main Campus,8,3,16,40,0,,0,2022 Spring Semester,1/18/22,5/18/22,Lecture,In-Person,Graduate students only in this section.,,Graduate,Graded,2022 Spring Semester,"SSW 567 - Software Testing, Qlty. Assur. & Maint",COURSE_SECTION_DEFINITION-1-2022S_SSW_567_A,G-UG,SSW,A
Software Engineering Program,Open,"SSW 567-A-U - Software Testing, Qlty. Assur. & Maint",SSW567-A-U,"Software Testing, Quality Assurance and Maintenance",Wednesday | 6:30 PM - 9:00 PM,,,8,3,3,20,0,,0,2022 Spring Semester,1/18/22,5/18/22,Lecture,In-Person,Meets at the same time and location as SSW 567 A. Undergraduate students only in this section.,,Graduate,Graded,2022 Spring Semester,"SSW 567 - Software Testing, Qlty. Assur. & Maint",COURSE_SECTION_DEFINITION-1-2022S_SSW_567_A-U,UG,SSW,U
Software Engineering Program,Open,"SSW 567-WS - Software Testing, Qlty. Assur. & Maint",SSW567-WS,"Software Testing, Quality Assurance and Maintenance",,,,17,3,4,50,0,,0,2022 Spring Semester,1/18/22,5/18/22,Lecture,Online,Graduate students only in this section.,,Graduate,Graded,2022 Spring Semester,"SSW 567 - Software Testing, Qlty. Assur. & Maint",COURSE_SECTION_DEFINITION-1-2022S_SSW_567_WS,G-UG,SSW,WS
Software Engineering Program,Open,"SSW 567-WS-U - Software Testing, Qlty. Assur. & Maint",SSW567-WS-U,"Software Testing, Quality Assurance and Maintenance",,,,17,3,9,50,0,,0,2022 Spring Semester,1/18/22,5/18/22,Lecture,Online,Undergraduate students only in this section.,,Graduate,Graded,2022 Spring Semester,"SSW 567 - Software Testing, Qlty. Assur. & Maint",COURSE_SECTION_DEFINITION-1-2022S_SSW_567_WS-U,UG,SSW,U
Software Engineering Program,Open,SSW 590-WS - DevOps Principles and Practices,SSW590-WS,DevOps Principles and Practices,,,,10,3,11,50,0,,0,2022 Spring Semester,1/18/22,5/18/22,Lecture,Online,,,Graduate,Graded,2022 Spring Semester,SSW 590 - DevOps Principles and Practices,COURSE_SECTION_DEFINITION-1-2022S_SSW_590_WS,G-UG,SSW,WS
Software Engineering Program,Open,SSW 695-A - Software Eng. Capstone Studio,SSW695-A,Software Eng. Capstone Studio,Thursday | 6:30 PM - 9:00 PM,Gateway South 121,Hoboken - Main Campus,28,3,18,25,0,,0,2022 Spring Semester,1/18/22,5/18/22,Lecture,In-Person,,,Graduate,Graded,2022 Spring Semester,SSW 695 - Software Eng. Capstone Studio,COURSE_SECTION_DEFINITION-1-2022S_SSW_695_A,G,SSW,A
Software Engineering Program,Open,SSW 810-A - Special Topics in SSW,SSW810-A,Special Topics in SSW,Thursday | 6:30 PM - 9:00 PM,Babbio 321,Hoboken - Main Campus,72,3,22,40,0,,0,2022 Spring Semester,1/18/22,5/18/22,Lecture,In-Person,,,Graduate,Graded,2022 Spring Semester,SSW 810 - Special Topics in Sys. Centric Software Engr.,COURSE_SECTION_DEFINITION-1-2022S_SSW_810_A,G,SSW,A
"Mechanical Engineering Program

Systems Engineering Program",Open,"ME 564-B - Optimization Princpls in ME

SYS 564-B - Optimization Princpls in ME",ME564-B/SYS564-B,Optimization Principles in Mechanical Engineering,Tuesday | 6:30 PM - 9:00 PM,Morton 205,Hoboken - Main Campus,3,3,20,30,0,,0,2022 Spring Semester,1/18/22,5/18/22,Lecture,In-Person,,,Graduate,Graded,2022 Spring Semester,ME 564 - Optimization Princpls in ME,COURSE_SECTION_DEFINITION-1-2022S_ME_564_B,G-UG,SYS,B
